    a       x        y1        y2
  -5.00  -10.00    9.4268    1.4840
  -5.00   -5.00    4.3028    2.0024
  -5.00   -3.00   -1.1670    1.0698
  -5.00   -1.00    0.3649    1.7647
  -5.00    0.00    3.6457    1.6880
  -5.00    1.00    1.5505    1.5784
  -5.00    3.00   -0.9682    1.0517
  -5.00    5.00    2.9517    3.0977
  -5.00   10.00    8.6603    2.5290
  -3.00  -10.00    8.3184    1.4840
  -3.00   -5.00    6.0705    2.0024
  -3.00   -3.00   -3.4292    1.0698
  -3.00   -1.00    0.4799    1.7647
  -3.00    0.00    5.7569    1.6880
  -3.00    1.00    3.7169    1.5784
  -3.00    3.00   -2.8863    1.0517
  -3.00    5.00    2.3817    3.0977
  -3.00   10.00    6.2257    2.5290
  -1.00  -10.00    9.3147    1.4840
  -1.00   -5.00    4.4816    2.0024
  -1.00   -3.00   -1.3959    1.0698
  -1.00   -1.00    0.3766    1.7647
  -1.00    0.00    3.8592    1.6880
  -1.00    1.00    1.7696    1.5784
  -1.00    3.00   -1.1623    1.0517
  -1.00    5.00    2.8941    3.0977
  -1.00   10.00    8.4140    2.5290
   0.00  -10.00    8.2488    1.4840
   0.00   -5.00    6.1816    2.0024
   0.00   -3.00   -3.5714    1.0698
   0.00   -1.00    0.4872    1.7647
   0.00    0.00    5.8896    1.6880
   0.00    1.00    3.8531    1.5784
   0.00    3.00   -3.0069    1.0517
   0.00    5.00    2.3459    3.0977
   0.00   10.00    6.0727    2.5290
   1.00  -10.00    9.3147    1.4840
   1.00   -5.00    4.4816    2.0024
   1.00   -3.00   -1.3959    1.0698
   1.00   -1.00    0.3766    1.7647
   1.00    0.00    3.8592    1.6880
   1.00    1.00    1.7696    1.5784
   1.00    3.00   -1.1623    1.0517
   1.00    5.00    2.8941    3.0977
   1.00   10.00    8.4140    2.5290
   3.00  -10.00    8.3184    1.4840
   3.00   -5.00    6.0705    2.0024
   3.00   -3.00   -3.4292    1.0698
   3.00   -1.00    0.4799    1.7647
   3.00    0.00    5.7569    1.6880
   3.00    1.00    3.7169    1.5784
   3.00    3.00   -2.8863    1.0517
   3.00    5.00    2.3817    3.0977
   3.00   10.00    6.2257    2.5290
   5.00  -10.00    9.4268    1.4840
   5.00   -5.00    4.3028    2.0024
   5.00   -3.00   -1.1670    1.0698
   5.00   -1.00    0.3649    1.7647
   5.00    0.00    3.6457    1.6880
   5.00    1.00    1.5505    1.5784
   5.00    3.00   -0.9682    1.0517
   5.00    5.00    2.9517    3.0977
   5.00   10.00    8.6603    2.5290
